,dataset,solver,scheduler,cacher_quantizer,SEC_PER_IMG,TFLOPS,bits_per_weight,FID,IS,CLIP,nfe
153,COCO,DDIM,KARRAS,NONE,4.485817800499499,203.367867820741,,21.12070083618164,39.33595275878906,33.70906066894531,17
154,COCO,DDIM,SNR,NONE,4.418913712166249,203.367867820741,,20.930288314819336,39.05561828613281,33.67637252807617,17
155,COCO,DDIM,AYS,NONE,4.615903866379522,203.367867820741,,20.786014556884766,39.06334686279297,33.69394302368164,17
156,COCO,DDIM,KARRAS,NONE,2.653744902536273,119.6734455914,,22.281274795532227,37.864402770996094,33.52861404418945,10
157,COCO,DDIM,LINEAR,NONE,4.473743758783676,203.367867820741,,20.681659698486328,38.59150695800781,33.60588836669922,17
158,COCO,DDIM,DDIM,NONE,4.549589996235445,203.367867820741,,20.830978393554688,37.14957809448242,33.363975524902344,17
159,COCO,DDIM,SNR,NONE,2.6605153726739807,119.6734455914,,22.74298858642578,36.91337585449219,33.44072723388672,10
160,COCO,DDIM,LINEAR,NONE,2.620399956535548,119.6734455914,,20.789600372314453,37.15685272216797,33.42673873901367,10
161,COCO,DDIM,AYS,NONE,2.625448811762035,119.6734455914,,21.443592071533203,37.220237731933594,33.50209426879883,10
162,COCO,DDIM,DDIM,NONE,2.5905076923593877,119.6734455914,,23.165651321411133,33.95916748046875,33.046356201171875,10
163,COCO,DDIM,LINEAR,NONE,1.9224728855630382,83.804407493111,,22.045825958251953,35.741878509521484,33.337432861328125,7
164,COCO,DDIM,DDIM,NONE,1.8582139196572824,83.804407493111,,30.77212905883789,29.509052276611328,32.40403366088867,7
165,COCO,DDIM,KARRAS,NONE,1.3575103448564187,59.891715427585,,36.181312561035156,29.290090560913086,32.52721405029297,5
166,COCO,DDIM,AYS,NONE,1.8530858138948678,83.804407493111,,24.295469284057617,35.21849822998047,33.17029571533203,7
167,COCO,DDIM,DDIM,NONE,1.3573927659913898,59.891715427585,,52.31223678588867,23.355636596679688,30.749256134033203,5
168,COCO,DDIM,AYS,NONE,1.3174301125854253,59.891715427585,,36.90983963012695,28.6958065032959,32.26271438598633,5
169,COCO,DDIM,LINEAR,NONE,1.3483890978991986,59.891715427585,,25.094552993774414,33.07918167114258,33.11085891723633,5
